,date,organization,text,neg,neu,pos,compound
63,2018-04-03,BBC,"RT @BBCR1: ""Are you ready to pump for Justin?"" ?

@MollieKing told @MattEdmondson she went on the Saturday Show to try to meet @JTimberlake…",0.0,0.898,0.102,0.3612
64,2018-04-03,BBC,RT @BBCOne: Good news klaxon! ?Shakespeare &amp; Hathaway - Private Investigators will return to @BBCOne for a second series. More info here ?…,0.0,0.862,0.138,0.4926
65,2018-04-03,BBC,?? New light has been shed on dinosaur evolution after giant prehistoric footprints were discovered on the Isle of… https://t.co/n9FwbF9lHC,0.0,1.0,0.0,0.0
66,2018-04-03,BBC,"From Mary Beard not wanting to be a TV Presenter, to the people protecting art in war zones... 

Here are 9 fascina… https://t.co/SbAVgjwbUE",0.163,0.837,0.0,-0.5994
67,2018-04-03,BBC,The winners of the Scottish Nature Photography Awards 2017 have been announced. ? ? ? https://t.co/VhRxiF5zl3 https://t.co/2SIwUQsHgH,0.0,0.663,0.337,0.7269
68,2018-04-03,BBC,"This is Maya the jaguar's very first swim! ?? #BigCatsAboutTheHouse 

https://t.co/IacZP3ltf3",0.0,1.0,0.0,0.0
69,2018-04-02,BBC,"Delve into the world of @agathachristie with Bill Nighy. ? #OrdealByInnocence
https://t.co/6amR2TK52M",0.0,1.0,0.0,0.0
70,2018-04-02,BBC,"In a revealing and emotional journey, @LennyHenry investigates the relationship between the Commonwealth, the Carib… https://t.co/b58oqaOqQz",0.0,0.897,0.103,0.1531
71,2018-04-02,BBC,"A fictionalised account of how Dave Allen became one of TV's greats. 

Dave Allen at Peace | 9pm | @BBCTwo |… https://t.co/UFyHxzmRn2",0.0,0.837,0.163,0.5423
72,2018-04-02,BBC,"Would you try a blue cheese and pear ice cream? ??

 https://t.co/g1zRQUKr0a",0.0,1.0,0.0,0.0
73,2018-04-02,BBC,"RT @BBCBreaking: South African anti-apartheid campaigner Winnie Mandela has died aged 81, her personal assistant says https://t.co/krdVvFLY…",0.184,0.816,0.0,-0.5574
74,2018-04-02,BBC,Is it easier to be a businesswoman in the West or in Asia? This is one woman's experience... https://t.co/fI84r6x06p,0.0,0.859,0.141,0.4215
75,2018-04-02,BBC,RT @BBCWorld: Hill Street Blues creator Steven Bochco dies aged 74 https://t.co/5lrOJWDuTu,0.0,1.0,0.0,0.0
76,2018-04-02,BBC,"""I have cerebral palsy. But that won't stop me from becoming a barrister."" 

This is Daniel's story. 
https://t.co/cvao6fjUoW",0.0,0.894,0.106,0.2235
77,2018-04-02,BBC,From Easter egg nest cakes to hot cross buns: @BBCFood have lots of Easter baking ideas!  ???… https://t.co/BValJcDkAd,0.0,1.0,0.0,0.0
78,2018-04-02,BBC,"? ? @SandiToksvig knows how to squeeze an egg into a glass bottle! #QI
 https://t.co/ykMxxdLKq7",0.0,1.0,0.0,0.0
79,2018-04-02,BBC,RT @BBCScotlandNews: Commonwealth Games: Eilidh Doyle chosen to be Scotland's first female flag bearer https://t.co/sX7vzZFn0E https://t.co…,0.0,1.0,0.0,0.0
80,2018-04-02,BBC,"RT @BBCRadio4: Why we ? the Shipping Forecast - Discover the secrets of the iconic weather report 
https://t.co/ozBEl8gbWv https://t.co/eJt…",0.0,1.0,0.0,0.0
81,2018-04-02,BBC,"RT @BBCSport: ""The fans were demanding something, and I gave them Zlatan.""

Imagine football without this guy ?? https://t.co/CZIQnYFIPL",0.101,0.899,0.0,-0.2263
82,2018-04-02,BBC,"RT @CBeebiesHQ: Autism feels different for everybody ?

The #Pablo cast, show us how a person with autism might experience the world in thi…",0.0,1.0,0.0,0.0
83,2018-04-02,BBC,"If there's one thing we love even more than chocolate, it's news that it may actually be good for us! But can choco… https://t.co/O5KlptGCV5",0.0,0.749,0.251,0.8122
84,2018-04-02,BBC,When you wake up and remember it's STILL the weekend. ?? #BankHoliday https://t.co/QMJ5lXS6dd,0.0,1.0,0.0,0.0
85,2018-04-02,BBC,"12-year-old Keilan has severe curvature of the spine. He needs surgery ASAP, but the operation could leave him para… https://t.co/5wl8aXiahP",0.147,0.853,0.0,-0.2732
86,2018-04-01,BBC,"RT @BBCOne: CANNOT WAIT.  

@masterchefuk #Masterchef https://t.co/6ExjLKSaXF",0.0,1.0,0.0,0.0
87,2018-04-01,BBC,"Heiress Rachel Argyll is murdered at her family estate. Eighteen months later, the identity of the murderer is thro… https://t.co/eLTDhy9dgj",0.333,0.667,0.0,-0.875
88,2018-04-01,BBC,"The Generation Game is back! Mel Giedroyc and @sueperkins host the fun family game show, with big prizes to be won… https://t.co/fsdU2b5kkd",0.0,0.752,0.248,0.7644
89,2018-04-01,BBC,RT @BBCSport: Happy April Fool's Day everyone! https://t.co/8o8K1YO4SE,0.0,0.637,0.363,0.6114
90,2018-04-01,BBC,? Who'd love their next takeaway to be delivered by a robot?  https://t.co/4GZxjNwc2K,0.0,0.704,0.296,0.6369
91,2018-04-01,BBC,"? You only need one piece of paper to make this origami Easter bunny! #EasterSunday 

? https://t.co/2QvZ01DkVM https://t.co/EQyhG2J8TN",0.0,1.0,0.0,0.0
92,2018-04-01,BBC,What is it like to grow up with HIV? Three teenagers share their stories. https://t.co/DraVkYqRTn,0.0,0.734,0.266,0.5719
93,2018-04-01,BBC,RT @BBCNews: Royal wedding: Prince Harry and Meghan Markle choose flowers https://t.co/bEV8gIGXKN,0.0,1.0,0.0,0.0
94,2018-04-01,BBC,RT @BBCiPlayer: Remember when we discovered that penguins can actually fly? #WeAreStillShook ?? https://t.co/K167WaTNN2,0.0,1.0,0.0,0.0
95,2018-04-01,BBC,"RT @bbcweather: As the RAF celebrates 100 years since its formation, here is a rather serene view of this morning's weather at #RAF #Lossie…",0.0,0.758,0.242,0.7717
96,2018-04-01,BBC,Our favourite #AprilFoolsDay was when spaghetti grew on trees in 1957. https://t.co/qRGuM9NnRZ,0.0,1.0,0.0,0.0
